entity_id,colour_temperature,colour_temperature_value,created_at,dimension,dimmable,dimmable_value,energylabel_type,farbtemperatur_filter,farbtemperatur_filter_value,gtin,label,lamp_holder,lamp_holder_value,lamp_max,lamp_max_value,luminous_flux,luminous_flux_value,luminous_intensity,manufacturer,manufacturer_value,manufacturer_sku,name,price,sku,small_image,thumbnail,updated_at,url_key,variation,variation_value,variation_text,visibility,voltage,voltage_value
132907,27719,Warmweiß Extra 2700 K,2019-06-24 16:03:06,"L: 180mm, Ø: 38mm",5440,Dimmbar,27637,64479,Warmweiß Extra,8057829377976,"27766,27736",27628,E27,35788,17 W,28104,2000 lm,,27640,Flos,RF26259,LED Röhrenlampe E27 17W T38 2700K 2000lm DIM,52,703079,/f/l/flos-led-roehrenlampe-e27-1400lm_493627.jpg,/f/l/flos-led-roehrenlampe-e27-1400lm_493627.jpg,2023-02-13 02:48:56,flos-led-rohrenlampe-e27-17w-t38-2700k-2000lm-dim-703079,48449,17W - Warmweiß Extra 2700K,17W - Warmweiß Extra 2700K,1,47963,230
132908,27715,Warmweiß 3000 K,2019-06-24 16:03:06,"L: 180mm, Ø: 38mm",5440,Dimmbar,27637,64483,Warmweiß,8057829377983,"27766,27736",27628,E27,35788,17 W,28104,2000 lm,,27640,Flos,RF26258,LED Röhrenlampe E27 17W T38 3000K 2000lm DIM,52,703080,/f/l/flos-led-roehrenlampe-e27-1400lm_493627.jpg,/f/l/flos-led-roehrenlampe-e27-1400lm_493627.jpg,2023-02-13 02:48:56,flos-led-rohrenlampe-e27-17w-t38-3000k-2000lm-dim-703080,48450,17W - Warmweiß 3000K,17W - Warmweiß 3000K,1,47963,230
134075,27719,Warmweiß Extra 2700 K,2019-06-24 16:03:29,"L: 105mm, Ø: 60mm",5439,Nicht dimmbar,27637,64479,Warmweiß Extra,4028085614598,,27628,E27,35078,7 W,34654,806 lm,,27560,Sigor,6145901,LED-Filament Normallampe klar E27 7W Dämmerungssensor,16,703038,/s/i/sigor-led-filament-normallampe-klar-dimmbar_20150325-00115_371551.jpg,/s/i/sigor-led-filament-normallampe-klar-dimmbar_20150325-00115_371551.jpg,2023-02-13 02:49:23,sigor-led-filament-normallampe-klar-e27-7w-dammerungssensor-703038,34648,"6,5 W","6,5 W",1,47963,230
134112,27715,Warmweiß 3000 K,2019-06-24 16:03:29,Ø: 111mm,5440,Dimmbar,,64483,Warmweiß,4008597114960,,30367,G53,30397,75 W,27870,850 lm,5300 Cd,48572,Radium,22311496,Niedervolt-Halogenreflektorlampe G53 QR-LP 111 75 W 24°,17,700667,/r/a/radium_halogenreflektorlampe_g53_490105.jpg,/r/a/radium_halogenreflektorlampe_g53_490105.jpg,2023-02-13 02:49:23,radium-niedervolt-halogenreflektorlampe-g53-qr-lp-111-75-w-24-700667,40388,75W - 24°,75W - 24°,1,47973,12
138375,27719,Warmweiß Extra 2700 K,2019-06-24 16:05:25,"L: 121mm, Ø: 35mm",5440,Dimmbar,68039,64479,Warmweiß Extra,4028085613416,"27766,27736",27629,E14,36370,"4,5 W",32704,470 lm,,27560,Sigor,6134101,"LED-Filament Windstoß klar E14 4,5W DIM",9,702906,/s/i/sigor-led-filament-windstoss-e14-klar_470695.jpg,/s/i/sigor-led-filament-windstoss-e14-klar_470695.jpg,2023-02-13 02:50:50,sigor-led-filament-windstoss-klar-e14-4-5w-dim-702906,36369,"4,5 W","4,5 W",1,47963,230
138391,27719,Warmweiß Extra 2700 K,2019-06-24 16:05:25,"L: 54mm, Ø: 50mm",5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4028085575639,27766,27603,GU10,32305,"4,9 W",33966,345 lm,,27560,Sigor,5756301,"LED Luxar Glas GU10 4,9W/927 36°",5,702948,/s/i/sigor-led-reglektorlampe-gu10-glas_470250.jpg,/s/i/sigor-led-reglektorlampe-gu10-glas_470250.jpg,2023-02-13 02:50:50,sigor-led-luxar-glas-gu10-4-9w-927-36-702948,,,5 W,1,47963,230
138392,27719,Warmweiß Extra 2700 K,2019-06-24 16:05:25,"L: 54mm, Ø: 50mm",5439,Nicht dimmbar,68039,64479,Warmweiß Extra,4028085575660,27766,27603,GU10,34924,"6,3 W",28751,460 lm,,27560,Sigor,5756601,"LED Luxar Glas GU10 6,3W/927 36°",7,702950,/s/i/sigor-led-reglektorlampe-gu10-glas_470250.jpg,/s/i/sigor-led-reglektorlampe-gu10-glas_470250.jpg,2023-02-13 02:50:50,sigor-led-luxar-glas-gu10-6-3w-927-36-702950,,,6 W,1,47963,230
138393,27715,Warmweiß 3000 K,2019-06-24 16:05:25,"L: 118mm, Ø: 22.5mm",5439,Nicht dimmbar,,64483,Warmweiß,8718696522530,27766,28714,R7s,34650,"6,5 W",34654,806 lm,,27556,Philips,522530,"CorePro LED R7s 118mm 6,5W/830",13,702744,/p/h/philips-corepro-led-r7s_118mm-6_5W_470253.jpg,/p/h/philips-corepro-led-r7s_118mm-6_5W_470253.jpg,2023-02-13 02:50:50,philips-corepro-led-r7s-118mm-6-5w-830-702744,34648,"6,5 W","6,5 W",1,47963,230
138394,27719,Warmweiß Extra 2700 K,2019-06-24 16:05:25,"L: 78mm, Ø: 45mm",5439,Nicht dimmbar,68039,64479,Warmweiß Extra,4028085613492,27735,27629,E14,32699,4 W,32704,470 lm,,27560,Sigor,6134901,LED-Filament Kugellampe klar E14 4W,6,702913,/s/i/sigor-led-filament-tropfenlampem-e14-matt_470246.jpg,/s/i/sigor-led-filament-tropfenlampem-e14-matt_470246.jpg,2023-02-13 02:50:50,sigor-led-filament-kugellampe-klar-e14-4w-702913,32691,4 W,4 W,1,47963,230
138395,27719,Warmweiß Extra 2700 K,2019-06-24 16:05:25,"L: 85mm, Ø: 45mm",5439,Nicht dimmbar,68039,64479,Warmweiß Extra,4028085614369,,27629,E14,36461,"2,8 W",31674,250 lm,,27560,Sigor,6143601,"LED-Filament Kugellampe klar E14 2,8W",5,703045,/s/i/sigor-led-filament-tropfenlampem-e14-matt_470246.jpg,/s/i/sigor-led-filament-tropfenlampem-e14-matt_470246.jpg,2023-02-13 02:50:50,sigor-led-filament-kugellampe-klar-e14-2-8w-703045,36459,"2,8 W","2,8 W",1,47963,230
